,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,Mount Isa,0,AU,1597435703,44,-20.73,139.5,60.8,6.93
279,Kununurra,5,AU,1597435704,63,-15.77,128.73,69.8,4.7
280,Podgorodnyaya Pokrovka,97,RU,1597435414,81,51.83,54.99,53.6,2.24
281,Birjand,0,IR,1597435468,18,32.87,59.22,80.6,9.17
282,Cao Bang,40,VN,1597435707,90,22.67,106.25,73.29,1.92
283,Obo,71,CF,1597435708,88,5.4,26.49,71.26,0.85
284,Petropavlovsk-Kamchatskiy,75,RU,1597435503,93,53.05,158.65,51.8,4.47
285,Esim,82,GH,1597435711,86,4.87,-2.24,75.78,10.31
286,Parambu,100,BR,1597435712,28,-6.21,-40.69,88.34,5.53
287,Saskylakh,85,RU,1597435713,89,71.92,114.08,35.74,2.26
288,Plouzané,100,FR,1597435714,82,48.38,-4.62,64.4,3.36
289,Pitkyaranta,100,RU,1597435716,83,61.57,31.48,59.11,5.93
290,Zastron,0,ZA,1597435717,47,-30.3,27.08,44.22,7.43
291,Geraldton,0,AU,1597435718,87,-28.77,114.6,46.4,4.7
292,Akdepe,0,TM,1597435719,38,42.06,59.38,77.0,9.17
293,Turka,4,UA,1597435501,80,49.15,23.03,64.99,8.01
294,Kulhudhuffushi,100,MV,1597435722,80,6.62,73.07,81.21,11.3
295,Ancud,40,CL,1597435476,75,-41.87,-73.82,46.4,17.22
296,Xingcheng,100,CN,1597435724,63,40.62,120.72,79.25,6.26
297,Areia Branca,29,BR,1597435725,66,-4.96,-37.14,81.23,18.79
298,Deputatsky,100,RU,1597435726,94,69.3,139.9,33.01,6.73
299,Adrar,92,MR,1597435727,22,20.5,-10.07,102.09,8.28
300,Daru,100,PG,1597435729,85,-9.08,143.21,76.14,15.55
301,Tanout,18,NE,1597435730,34,14.97,8.89,93.67,12.33
302,Bonavista,100,CA,1597435731,82,48.65,-53.11,59.0,5.99
303,Dulce Nombre de Culmí,100,HN,1597435733,91,15.1,-85.53,74.07,1.25
304,São João del Rei,40,BR,1597435734,47,-21.14,-44.26,77.0,8.05
305,Kisiwani,89,TZ,1597435735,73,-4.13,37.95,66.61,2.91
